id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
aaberg_t_14203329_2,0,2,0.333333,1.442695,1.000000,2.000000,0.062500,1.000000,4.000000,0
aaberg_t_14203329_2,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,5,1,0.000000,0.000000,1.000000,0.333333,0.055556,0.000000,4.000000,0
aaberg_t_14203329_2,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,7,4,0.185714,1.262358,0.500000,1.166667,0.031442,1.000000,6.500000,0
aaberg_t_14203329_2,8,11,0.500361,2.289744,1.000000,1.621612,0.026569,4.333333,13.500000,0
aaberg_t_14203329_2,9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,10,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,11,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,12,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,13,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,14,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,15,8,0.286642,1.859010,1.000000,1.173557,0.029124,3.000000,14.125000,0
aaberg_t_14203329_2,16,8,0.571429,2.476267,1.000000,1.733333,0.031250,4.000000,11.000000,0
aaberg_t_14203329_2,17,3,0.368421,1.444303,1.000000,1.727669,0.033525,2.000000,11.000000,0
aaberg_t_14203329_2,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,19,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aaberg_t_14203329_2,20,10,0.489245,2.664740,1.000000,1.444160,0.037742,5.333333,16.555556,0
aaberg_t_14203329_2,21,11,0.459052,2.806856,0.727273,1.405641,0.029159,5.818182,19.000000,0
aaberg_t_14203329_2,22,3,0.370370,1.448956,1.000000,1.740196,0.061966,2.000000,10.666667,0
aaberg_t_14203329_2,23,8,0.638125,3.043733,1.000000,1.795083,0.048944,7.000000,19.375000,0
aaberg_t_14203329_2,24,6,0.607504,2.538050,0.000000,1.808710,0.054581,5.000000,14.000000,1
abe_h_14286926_1,0,10,0.361111,2.217874,1.000000,1.414286,0.025641,3.250000,12.250000,0
abe_h_14286926_1,1,16,0.182589,1.975863,0.892857,1.074202,0.018060,2.857143,19.142857,0
abe_h_14286926_1,2,9,0.201235,1.758259,1.000000,1.202646,0.033551,2.222222,14.111111,0
abe_h_14286926_1,3,3,0.309524,1.238814,1.000000,1.671795,0.044232,2.000000,10.333333,0
abe_h_14286926_1,4,11,0.391160,2.677615,1.000000,1.343808,0.031261,6.727273,25.363636,1
abe_i_5212509_1,0,18,0.543860,2.407618,1.000000,1.693682,0.018190,4.333333,13.333333,0
abe_i_5212509_1,1,12,0.212294,1.727498,1.000000,1.191500,0.018295,3.000000,19.000000,0
abe_i_5212509_1,2,25,0.366837,2.757021,1.000000,1.261931,0.014030,6.307692,25.615385,0
abe_i_5212509_1,3,8,0.325170,1.972886,1.000000,1.314228,0.031503,3.428571,16.714286,0
abe_i_5212509_1,4,4,0.489474,1.882514,1.000000,1.820261,0.043097,3.000000,11.500000,1
abe_k_2398944_1,0,5,0.539683,2.169478,1.000000,1.805294,0.041734,4.000000,12.800000,0
abe_k_2398944_1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abe_k_2398944_1,2,5,0.281818,1.338974,0.800000,1.134152,0.031224,2.400000,12.600000,0
abe_k_2398944_1,3,12,0.298550,2.321836,0.500000,1.174520,0.041911,5.333333,25.416667,0
abe_k_2398944_1,4,8,0.685641,3.152168,1.000000,1.852437,0.078030,7.000000,18.500000,0
abe_k_2398944_1,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abe_k_2398944_1,6,15,0.435000,2.726988,1.000000,1.450342,0.032244,5.400000,17.800000,0
abe_k_2398944_1,7,8,0.706291,3.195752,1.000000,1.903883,0.045833,7.000000,19.125000,0
abe_k_2398944_1,8,2,0.202381,0.916283,1.000000,1.666667,0.043445,1.000000,9.500000,1
